,material_id,cif,energy_per_atom
5113,C-76016-983-23,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.48323000
_cell_length_b   5.01052000
_cell_length_c   4.05185000
_cell_angle_alpha   113.84982000
_cell_angle_beta   101.04279000
_cell_angle_gamma   85.59381000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C8
_cell_volume   45.25552491
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.65287413  0.17231346  1.02348198  1
  C  C1  1  0.84135427  0.69688931  0.20675196  1
  C  C2  1  0.34146157  0.88861297  0.30232728  1
  C  C3  1  0.20614060  0.17242783  0.25442291  1
  C  C4  1  0.02317843  0.69666059  0.59591900  1
  C  C5  1  0.52337639  0.88825382  0.69153013  1
  C  C6  1  0.15214374  0.41290596  0.64353932  1
  C  C7  1  0.70552068  0.41309976  0.87472784  1
",-154.0695325
8674,C-170888-2365-32,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.49384000
_cell_length_b   6.33553000
_cell_length_c   4.21185000
_cell_angle_alpha   49.57982000
_cell_angle_beta   106.80393000
_cell_angle_gamma   92.38066000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C8
_cell_volume   47.51722070
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.26492476  0.37765370  -0.10238934  1
  C  C1  1  0.46680058  0.34972112  0.28721479  1
  C  C2  1  0.09679529  0.63260396  0.42676769  1
  C  C3  1  0.45547303  0.62873460  0.19055833  1
  C  C4  1  0.10210604  0.16327286  0.58257971  1
  C  C5  1  1.14259414  -0.11235612  0.36597416  1
  C  C6  1  0.21064563  0.88372132  0.71305188  1
  C  C7  1  0.21196503  0.13086785  0.97355498  1
",-154.112675
776,C-141037-8469-46,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.48146000
_cell_length_b   3.68878000
_cell_length_c   4.83759000
_cell_angle_alpha   111.45597000
_cell_angle_beta   104.85401000
_cell_angle_gamma   109.66537000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   34.98263957
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.54426967  0.58392061  -0.04551283  1
  C  C1  1  1.21388278  0.28760396  0.58967780  1
  C  C2  1  0.22925589  0.52670183  0.38291244  1
  C  C3  1  0.25358016  -0.12859349  0.08531528  1
  C  C4  1  0.50542073  1.00005146  0.45902031  1
  C  C5  1  0.52817407  0.34495373  0.16107770  1
",-154.309182833333
9407,C-157689-1881-41,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.11693000
_cell_length_b   3.64860000
_cell_length_c   4.81011000
_cell_angle_alpha   112.15257000
_cell_angle_beta   80.92832000
_cell_angle_gamma   119.47547000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   44.08059748
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.11421540  0.13809637  0.99097078  1
  C  C1  1  1.11143792  0.98449638  0.68480813  1
  C  C2  1  0.11168754  0.57708035  0.49037524  1
  C  C3  1  0.11128873  -0.07596283  0.18466237  1
  C  C4  1  0.11436459  0.19855558  0.49111654  1
  C  C5  1  1.11396578  0.54551239  0.18540367  1
",-154.121323333333
8451,C-72730-1850-7,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.42797000
_cell_length_b   3.73386000
_cell_length_c   4.81223000
_cell_angle_alpha   96.60006000
_cell_angle_beta   103.00715000
_cell_angle_gamma   87.80120000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   42.22164306
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  -0.16679949  0.19748271  0.96848991  1
  C  C1  1  0.61225275  0.64270755  0.52475659  1
  C  C2  1  0.49986617  0.86411551  0.30181068  1
  C  C3  1  0.27892165  0.30940177  0.85810626  1
  C  C4  1  0.94559006  -0.02395254  0.19142323  1
  C  C5  1  0.16653887  0.53080319  0.63515903  1
",-154.420570166667
156,C-41262-9862-31,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.67304000
_cell_length_b   4.83440000
_cell_length_c   4.87821000
_cell_angle_alpha   112.53999000
_cell_angle_beta   98.61853000
_cell_angle_gamma   112.08562000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C10
_cell_volume   69.62372542
_cell_formula_units_Z   10
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.18072049  0.31998879  0.01901675  1
  C  C1  1  0.83962607  1.00855925  0.36834599  1
  C  C2  1  1.14311238  0.34730364  0.52604264  1
  C  C3  1  0.62274136  0.85513097  0.52500986  1
  C  C4  1  0.31822407  0.51622492  0.36698641  1
  C  C5  1  0.10439814  0.78801861  0.94425118  1
  C  C6  1  0.28205759  0.54565798  0.87426150  1
  C  C7  1  0.73852007  0.81404976  0.01679910  1
  C  C8  1  0.72390126  0.05172457  0.87694868  1
  C  C9  1  0.35580527  0.07579562  0.94647670  1
",-154.147016
774,C-76050-9799-65,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.47199000
_cell_length_b   4.15251000
_cell_length_c   5.79723000
_cell_angle_alpha   69.34630000
_cell_angle_beta   64.87265000
_cell_angle_gamma   90.01300000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C8
_cell_volume   49.61759872
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.22825086  0.64699967  0.65526818  1
  C  C1  1  0.67380098  0.43867165  0.71019758  1
  C  C2  1  0.17384708  0.43850681  0.20996870  1
  C  C3  1  0.84661767  0.19713386  0.53778559  1
  C  C4  1  0.72832608  0.64671159  1.15496727  1
  C  C5  1  0.79101223  0.98834501  0.09290385  1
  C  C6  1  0.29149592  0.98873015  0.59265382  1
  C  C7  1  0.34620018  0.19670605  0.03799280  1
",-154.17215625
8328,C-130538-6665-48,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.44414000
_cell_length_b   6.06030000
_cell_length_c   7.21977000
_cell_angle_alpha   99.10146000
_cell_angle_beta   99.73600000
_cell_angle_gamma   66.12052000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C14
_cell_volume   95.89936901
_cell_formula_units_Z   14
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.33838512  0.85709877  0.16998172  1
  C  C1  1  0.14873352  0.29525297  0.67886855  1
  C  C2  1  0.84186816  0.24387039  0.95200616  1
  C  C3  1  0.69324913  0.78021114  0.73473345  1
  C  C4  1  0.43503675  0.20973416  0.06839786  1
  C  C5  1  -0.03115874  0.54546457  0.81685280  1
  C  C6  1  0.40773206  0.39792759  0.40098439  1
  C  C7  1  0.56140352  0.51159374  0.93307287  1
  C  C8  1  0.59259948  0.58927355  0.14611897  1
  C  C9  1  0.25394033  0.45779219  0.20638431  1
  C  C10  1  0.71074387  -0.02583692  0.15008633  1
  C  C11  1  0.06520767  0.89647250  0.71393771  1
  C  C12  1  -0.00699958  0.35415958  0.48418196  1
  C  C13  1  -0.18983778  0.16430416  0.73913391  1
",-154.275912142857
276,C-47644-8979-61,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.42980000
_cell_length_b   5.36077000
_cell_length_c   7.45187000
_cell_angle_alpha   84.83628000
_cell_angle_beta   70.92882000
_cell_angle_gamma   89.92150000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C12
_cell_volume   91.32464801
_cell_formula_units_Z   12
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.88363235  0.28110706  0.59084580  1
  C  C1  1  0.21093395  0.58034653  0.76333496  1
  C  C2  1  0.40753032  0.54700948  0.06233863  1
  C  C3  1  0.38761073  0.27556407  0.07776941  1
  C  C4  1  0.88007909  0.87889832  0.08972441  1
  C  C5  1  0.27751797  0.77280355  0.19460388  1
  C  C6  1  0.78051988  0.49499067  0.69424803  1
  C  C7  1  0.42441235  0.16617375  0.55063307  1
  C  C8  1  0.09085909  0.85802939  0.38665949  1
  C  C9  1  0.52548016  0.94807313  0.45244570  1
  C  C10  1  -0.10442600  0.15142874  0.06978590  1
  C  C11  1  0.01263641  0.65485341  0.95809762  1
",-154.074333333333
3973,C-41262-9862-12,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.49028000
_cell_length_b   3.59355000
_cell_length_c   4.35454000
_cell_angle_alpha   84.29282000
_cell_angle_beta   73.40105000
_cell_angle_gamma   69.70179000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   35.02552446
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.52085800  0.21190059  0.93295444  1
  C  C1  1  0.80703185  0.84248548  0.72730293  1
  C  C2  1  0.62495027  0.58331102  0.35107459  1
  C  C3  1  -0.00529257  0.84310728  0.35137413  1
  C  C4  1  0.91365790  0.21240454  0.14527793  1
  C  C5  1  0.43802485  0.58260800  0.72697958  1
",-154.198431333333
3309,C-130532-5775-40,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.51161000
_cell_length_b   4.11307000
_cell_length_c   4.19018000
_cell_angle_alpha   119.39622000
_cell_angle_beta   107.61574000
_cell_angle_gamma   89.99932000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   35.36490942
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.60501894  0.73126181  0.82055281  1
  C  C1  1  0.41216723  0.38684919  0.43234869  1
  C  C2  1  0.21863125  0.34318025  0.04438963  1
  C  C3  1  0.41230394  0.05682131  0.43266800  1
  C  C4  1  0.21877726  0.71259788  1.04460296  1
  C  C5  1  0.60502138  0.10043147  0.82064872  1
",-154.2306565
7596,C-176689-6597-36,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.63337000
_cell_length_b   3.27351000
_cell_length_c   3.27022000
_cell_angle_alpha   80.81783000
_cell_angle_beta   75.45314000
_cell_angle_gamma   75.45300000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   36.24798648
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.93258729  0.15582344  0.75352579  1
  C  C1  1  0.93272446  0.47247014  0.43617498  1
  C  C2  1  0.31410658  0.52771653  0.16843057  1
  C  C3  1  0.55120517  0.10057706  1.02127020  1
  C  C4  1  0.55109854  0.73898052  0.38209415  1
  C  C5  1  0.31421322  0.88931307  0.80760661  1
",-154.202455
